ID Punto;Est [m];Nord [m];Quota Orto. [m];DS Est [m];DS Nord [m];DS Quota Orto. [m];Scostamento Geoide [m];WGS84 Latitudine [°];WGS84 Longitudine [°];Quota Elliss. WGS84 [m];WGS84 Cartesiana X [m];WGS84 Cartesiana Y [m];WGS84 Cartesiana Z [m];Data/Ora;WGS84_Lat2;WGS84_Lon2
P01;333423.3684;4979684.3319;2233.0682;0.0086;0.0105;0.0209;543.055;44° 57' 03.86 N;6° 53' 17.85 E;22.873.736;44.904.049.392;5.424.676.790;44.851.179.198;23/02/2026 11:21;44.95107222222222;6.8882916666666665
P02;333403.3458;4979694.7491;2224.5099;0.008;0.0096;0.021;543.051;44° 57' 04.18 N;6° 53' 16.92 E;22.788.150;44.903.944.186;5.424.459.650;44.851.188.768;23/02/2026 11:22;44.95116111111111;6.888033333333333
P03;333393.8025;4979715.8904;2217.2052;0.0061;0.0085;0.0184;543.045;44° 57' 04.85 N;6° 53' 16.46 E;22.715.097;44.903.758.412;5.424.335.525;44.851.285.026;23/02/2026 11:23;44.951347222222225;6.887905555555555
P04;333374.0920;4979727.3751;2210.1519;0.0068;0.0074;0.0185;543.042;44° 57' 05.21 N;6° 53' 15.55 E;22.644.561;44.903.655.894;5.424.121.575;44.851.312.841;23/02/2026 11:24;44.95144722222223;6.887652777777777
P05;333366.4536;4979748.9065;2203.3480;0.0067;0.0078;0.0176;543.036;44° 57' 05.90 N;6° 53' 15.18 E;22.576.516;44.903.468.281;5.424.016.314;44.851.415.748;23/02/2026 11:25;44.951638888888894;6.887549999999999
P06;333348.0032;4979760.6153;2194.4276;0.0068;0.0072;0.0169;543.032;44° 57' 06.26 N;6° 53' 14.32 E;22.487.308;44.903.349.338;5.423.813.014;44.851.432.188;23/02/2026 11:25;44.95173888888889;6.887311111111111
P07;333341.6962;4979781.8064;2185.8029;0.008;0.0089;0.0205;543.026;44° 57' 06.95 N;6° 53' 14.01 E;22.401.055;44.903.149.469;5.423.719.776;44.851.520.066;23/02/2026 11:26;44.951930555555556;6.887225
P08;333323.1362;4979795.2404;2177.0662;0.0093;0.0087;0.0228;543.022;44° 57' 07.36 N;6° 53' 13.15 E;22.313.684;44.903.019.918;5.423.513.639;44.851.549.992;23/02/2026 11:27;44.95204444444445;6.886986111111111
P09;333317.9609;4979817.8216;2167.1780;0.0092;0.009;0.0232;543.016;44° 57' 08.09 N;6° 53' 12.88 E;22.214.797;44.902.799.900;5.423.429.003;44.851.638.989;23/02/2026 11:28;44.952247222222226;6.886911111111111
P10;333299.7086;4979830.4114;2156.8569;0.0062;0.0076;0.0188;543.012;44° 57' 08.48 N;6° 53' 12.04 E;22.111.582;44.902.664.688;5.423.225.505;44.851.651.801;23/02/2026 11:32;44.952355555555556;6.886677777777777
P11;333293.9741;4979851.1277;2147.3773;0.007;0.0065;0.0194;543.007;44° 57' 09.15 N;6° 53' 11.75 E;22.016.780;44.902.461.335;5.423.137.738;44.851.730.381;23/02/2026 11:33;44.95254166666667;6.886597222222222
P12;333276.3359;4979865.4661;2138.7318;0.008;0.0077;0.0231;543.003;44° 57' 09.60 N;6° 53' 10.93 E;21.930.320;44.902.324.835;5.422.939.812;44.851.767.520;23/02/2026 11:34;44.95266666666667;6.886369444444444
P13;333269.9244;4979887.4920;2131.2574;0.0078;0.0105;0.0239;542.997;44° 57' 10.31 N;6° 53' 10.61 E;21.855.570;44.902.127.361;5.422.845.592;44.851.869.408;23/02/2026 11:35;44.95286388888889;6.8862805555555555
P14;333253.7565;4979903.5038;2124.7452;0.0068;0.0089;0.0211;542.992;44° 57' 10.81 N;6° 53' 09.85 E;21.790.444;44.901.992.131;5.422.662.191;44.851.933.731;23/02/2026 11:36;44.95300277777778;6.886069444444444
P15;333249.8196;4979925.7875;2116.0147;0.0068;0.0078;0.0188;542.986;44° 57' 11.53 N;6° 53' 09.65 E;21.703.133;44.901.780.611;5.422.591.135;44.852.029.025;23/02/2026 11:37;44.95320277777778;6.886013888888888
P16;333232.4148;4979940.6070;2107.1257;0.0073;0.0085;0.0208;542.982;44° 57' 12.00 N;6° 53' 08.84 E;21.614.238;44.901.638.716;5.422.394.783;44.852.067.887;23/02/2026 11:38;44.95333333333333;6.8857888888888885
P17;333224.8128;4979962.3770;2098.9153;0.0083;0.009;0.0213;542.976;44° 57' 12.69 N;6° 53' 08.46 E;21.532.129;44.901.439.503;5.422.288.429;44.852.162.541;23/02/2026 11:39;44.953525000000006;6.885683333333333
P18;333207.5379;4979978.6108;2091.8658;0.0075;0.0091;0.0212;542.971;44° 57' 13.21 N;6° 53' 07.66 E;21.461.629;44.901.300.475;5.422.093.361;44.852.224.431;23/02/2026 11:39;44.95366944444445;6.885461111111111
P19;333202.6052;4980001.8911;2084.7628;0.0069;0.0081;0.0196;542.965;44° 57' 13.96 N;6° 53' 07.40 E;21.390.593;44.901.094.806;5.422.012.721;44.852.338.090;23/02/2026 11:40;44.953877777777784;6.885388888888889
