ID Punto;Est [m];Nord [m];Quota Orto. [m];DS Est [m];DS Nord [m];DS Quota Orto. [m];Scostamento Geoide [m];WGS84 Latitudine [°];WGS84 Longitudine [°];Quota Elliss. WGS84 [m];WGS84 Cartesiana X [m];WGS84 Cartesiana Y [m];WGS84 Cartesiana Z [m];Data/Ora;WGS84_Lat2;WGS84_Lon2
PS01;333423.3631;4979684.3501;2233.1071;0.0075;0.0075;0.0211;543.055;44° 57' 03.86 N;6° 53' 17.85 E;22.874.126;44.904.049.546;5.424.676.750;44.851.179.601;23/02/2026 12:20;44.95107222222222;6.8882916666666665
PS02;333405.7370;4979693.6332;2225.5383;0.0063;0.006;0.0215;543.051;44° 57' 04.14 N;6° 53' 17.03 E;22.798.434;44.903.955.899;5.424.485.445;44.851.188.577;23/02/2026 12:21;44.951150000000005;6.8880638888888885
PS03;333396.4119;4979712.6824;2218.6115;0.0055;0.0057;0.0174;543.046;44° 57' 04.75 N;6° 53' 16.59 E;22.729.162;44.903.787.090;5.424.366.117;44.851.272.739;23/02/2026 12:21;44.95131944444445;6.887941666666666
PS04;333378.2678;4979723.9212;2211.7173;0.0068;0.0068;0.0236;543.043;44° 57' 05.10 N;6° 53' 15.75 E;22.660.215;44.903.685.241;5.424.168.090;44.851.300.226;23/02/2026 12:22;44.95141666666667;6.887708333333332
PS05;333369.3535;4979744.4826;2205.1953;0.0036;0.0038;0.0128;543.037;44° 57' 05.76 N;6° 53' 15.31 E;22.594.990;44.903.508.147;5.424.051.503;44.851.398.024;23/02/2026 12:23;44.951600000000006;6.88758611111111
PS06;333352.4929;4979755.8922;2197.2206;0.0051;0.0054;0.0188;543.033;44° 57' 06.12 N;6° 53' 14.53 E;22.515.239;44.903.395.740;5.423.865.086;44.851.419.322;23/02/2026 12:24;44.9517;6.8873694444444435
PS07;333344.9560;4979775.9228;2188.6221;0.0038;0.0044;0.0129;543.028;44° 57' 06.76 N;6° 53' 14.16 E;22.429.249;44.903.205.859;5.423.760.970;44.851.498.945;23/02/2026 12:25;44.95187777777778;6.887266666666666
PS08;333327.4889;4979787.9801;2180.6365;0.0054;0.0056;0.0204;543.024;44° 57' 07.13 N;6° 53' 13.35 E;22.349.390;44.903.089.690;5.423.567.820;44.851.524.637;23/02/2026 12:26;44.95198055555556;6.887041666666666
PS09;333322.6214;4979807.9178;2172.4582;0.0052;0.0058;0.0175;543.019;44° 57' 07.77 N;6° 53' 13.11 E;22.267.602;44.902.899.721;5.423.490.608;44.851.607.063;23/02/2026 12:26;44.95215833333334;6.886975
PS10;333306.9352;4979820.4143;2163.0052;0.0067;0.007;0.0231;543.015;44° 57' 08.17 N;6° 53' 12.38 E;22.173.068;44.902.767.713;5.423.313.369;44.851.625.822;23/02/2026 12:27;44.95226944444445;6.886772222222222
PS11;333301.4535;4979839.9737;2153.6050;0.0063;0.0056;0.0186;543.01;44° 57' 08.80 N;6° 53' 12.10 E;22.079.060;44.902.572.649;5.423.229.454;44.851.696.823;23/02/2026 12:28;44.952444444444446;6.886694444444444
PS12;333285.8501;4979853.1289;2144.7075;0.0059;0.0063;0.0209;543.006;44° 57' 09.21 N;6° 53' 11.38 E;21.990.081;44.902.439.830;5.423.052.779;44.851.724.182;23/02/2026 12:29;44.952558333333336;6.886494444444444
PS13;333279.2544;4979873.2993;2137.1656;0.0048;0.0051;0.0161;543.001;44° 57' 09.86 N;6° 53' 11.05 E;21.914.657;44.902.255.094;5.422.958.730;44.851.812.430;23/02/2026 12:29;44.952738888888895;6.886402777777778
