easting,northing,dz_dx,dz_dy,inclination_deg
3.334362898816561792e+05,4.979665040709275752e+06,2.912380036498246061e-01,-2.619414300626466408e-01,2.139053213396442032e+01
3.334362741051073535e+05,4.979665041120233946e+06,2.912380036498246061e-01,-2.619414300626466408e-01,2.139053213396442032e+01
3.334362586179249920e+05,4.979665052639852278e+06,2.914207682027772361e-01,-2.620459367071235612e-01,2.140075317486039097e+01
3.334362510190170724e+05,4.979665063953991979e+06,2.918080455326267919e-01,-2.620301104412305904e-01,2.141453386140737081e+01
3.334362513083836529e+05,4.979665075062650256e+06,2.919865082178141891e-01,-2.619515666920051444e-01,2.141852369100860898e+01
3.334362594860246172e+05,4.979665085965831764e+06,2.915321024790618609e-01,-2.622257464459252230e-01,2.141083585403837830e+01
3.334362515977502335e+05,4.979665086171310395e+06,2.919236495588278246e-01,-2.622159119600837585e-01,2.142496911946613380e+01
3.334362437094757915e+05,4.979665086376789957e+06,2.919396914633808349e-01,-2.622164577865712110e-01,2.142557978128115437e+01
3.334362279329270823e+05,4.979665086787749082e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362197552861180e+05,4.979665075884569436e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362118670117343e+05,4.979665076090048999e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362197552861180e+05,4.979665075884569436e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362197552861180e+05,4.979665075884569436e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362197552861180e+05,4.979665075884569436e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362197552861180e+05,4.979665075884569436e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362194659195375e+05,4.979665064775909297e+06,2.919260658250769636e-01,-2.621084142705976672e-01,2.142149209203959970e+01
3.334362112882785732e+05,4.979665053872730583e+06,2.918779028835957190e-01,-2.620298140678231635e-01,2.141710520770383752e+01
3.334362031106374925e+05,4.979665042969550937e+06,2.918779028835957190e-01,-2.620298140678231635e-01,2.141710520770383752e+01
3.334361952223629924e+05,4.979665043175030500e+06,2.918617895994346512e-01,-2.620276558679646706e-01,2.141643822263480956e+01
3.334361952223629924e+05,4.979665043175030500e+06,2.918617895994346512e-01,-2.620276558679646706e-01,2.141643822263480956e+01
3.334361870447219117e+05,4.979665032271849923e+06,2.920956667212251667e-01,-2.618191692541229076e-01,2.141816998678836725e+01
3.334361552022575634e+05,4.979665021985108964e+06,2.920956667212251667e-01,-2.618191692541229076e-01,2.141816998678836725e+01
3.334360833396870876e+05,4.979664990508447401e+06,2.921016997461315934e-01,-2.620131359731203702e-01,2.142482264352132404e+01
3.334360041675751563e+05,4.979664981454584748e+06,2.923761083851740827e-01,-2.615873095337519771e-01,2.142086310914791980e+01
3.334359965686674695e+05,4.979664992768726312e+06,2.923761083851740827e-01,-2.615873095337519771e-01,2.142086310914791980e+01
3.334360129239503876e+05,4.979665014575083740e+06,2.923761083851740827e-01,-2.615873095337519771e-01,2.142086310914791980e+01
3.334360368781407014e+05,4.979665025067306124e+06,2.921723816924165495e-01,-2.617935504292689952e-01,2.142015777098746554e+01
3.334360777663470944e+05,4.979665079583203420e+06,2.920113691134433864e-01,-2.618474234228042041e-01,2.141598980442250877e+01
3.334360865227219765e+05,4.979665112703703344e+06,2.920565355267155661e-01,-2.619621566192198991e-01,2.142146315437937432e+01
3.334360792131812195e+05,4.979665135126501322e+06,2.920144090613964183e-01,-2.619257346409079035e-01,2.141869845836836461e+01
3.334360637259995565e+05,4.979665146646121517e+06,2.920057436930902917e-01,-2.619177872717715627e-01,2.141811465111186763e+01
3.334360558377252892e+05,4.979665146851601079e+06,2.920057436930902917e-01,-2.619177872717715627e-01,2.141811465111186763e+01
3.334360482388177770e+05,4.979665158165740781e+06,2.920057436930902917e-01,-2.619177872717715627e-01,2.141811465111186763e+01
3.334360263101964956e+05,4.979665225434138440e+06,2.919053018338774730e-01,-2.620408848692931114e-01,2.141848484904483385e+01
3.334359818742214120e+05,4.979665337753613479e+06,2.921496329370216194e-01,-2.630143974745139390e-01,2.145981304067203155e+01
3.334359157989962841e+05,4.979665528450147249e+06,2.920152723438749209e-01,-2.631401754073750543e-01,2.145903597547514607e+01
3.334357307455855189e+05,4.979666000150856562e+06,2.933303217150713404e-01,-2.642236459419109451e-01,2.154346463063863482e+01
3.334356266758495476e+05,4.979666247418093495e+06,2.928815736028559935e-01,-2.639533423298475734e-01,2.151796530398977225e+01
3.334355299156591063e+05,4.979666472262533382e+06,2.933580430775284964e-01,-2.650438603297306517e-01,2.157171366229595577e+01
3.334354179576674942e+05,4.979666719735254534e+06,2.930359171248045347e-01,-2.642059216098749941e-01,2.153203463323978539e+01
3.334353071571583860e+05,4.979667011642616242e+06,2.935124296251405696e-01,-2.649252357905518829e-01,2.157345175851110497e+01
3.334352048236692208e+05,4.979667325561820529e+06,2.943969756231381574e-01,-2.644177468833470712e-01,2.158919592843812651e+01
3.334351433783909306e+05,4.979667693996917456e+06,2.946125089137024422e-01,-2.645952111920950034e-01,2.160301266010641541e+01
3.334350763598014601e+05,4.979668151506775990e+06,2.965030872815351271e-01,-2.636994584368785310e-01,2.164325563239906458e+01
3.334349476819089614e+05,4.979668666203784756e+06,2.970653343073862418e-01,-2.627806033494886062e-01,2.163389474639455656e+01
3.334345807585427538e+05,4.979669731800533831e+06,2.961623180279602252e-01,-2.591678355146346258e-01,2.148202273222077352e+01
3.334343734874210786e+05,4.979670259661034681e+06,2.969892717726740350e-01,-2.542861480545184349e-01,2.135442256840943642e+01
3.334341670844485052e+05,4.979670820847522467e+06,2.955996749024520365e-01,-2.488347390682433269e-01,2.112607623626356812e+01
3.334339936814376269e+05,4.979671436755386181e+06,2.965005667361352848e-01,-2.433090195609866613e-01,2.098439846222099092e+01
3.334338456794899539e+05,4.979672118698768318e+06,2.982612659315919679e-01,-2.365512321441872734e-01,2.084076300208332455e+01
3.334336439065836603e+05,4.979672857623832300e+06,3.002546495854744313e-01,-2.249129109656491932e-01,2.056365659345076580e+01
3.334333866265102988e+05,4.979673586878630333e+06,3.028362139885846793e-01,-2.154331150006429385e-01,2.038741236981210392e+01
3.334330983721949160e+05,4.979674339172694832e+06,3.060151503994608113e-01,-2.048165439513690567e-01,2.021534087139649927e+01
3.334328095392065006e+05,4.979675069249456748e+06,3.107625181023098149e-01,-1.969059760299904371e-01,2.019821874228073355e+01
3.334321597216027440e+05,4.979676486817749217e+06,3.195410896066775974e-01,-1.855046196395013225e-01,2.027846786146063707e+01
3.334317192756509176e+05,4.979677154146824963e+06,3.217936535007821508e-01,-1.841623416745378217e-01,2.034303361708392188e+01
3.334311371305125067e+05,4.979677836283343844e+06,3.246618898456907210e-01,-1.826315617225989785e-01,2.043059060311093234e+01
3.334305397877403302e+05,4.979678541048215702e+06,3.274884634160468155e-01,-1.823076124119624164e-01,2.054664954774762009e+01
3.334299187803316163e+05,4.979679246429610066e+06,3.303528865674699722e-01,-1.813465687632355439e-01,2.064916300096841084e+01
3.334292817071700701e+05,4.979679941113386303e+06,3.337856089530033543e-01,-1.822687022789355182e-01,2.082224521704786824e+01
3.334286525224047946e+05,4.979680635591740720e+06,3.363997013159376048e-01,-1.826816117797454286e-01,2.094694320541896815e+01
3.334280157389062224e+05,4.979681341384312138e+06,3.388069209435607965e-01,-1.827495498066230850e-01,2.105427702104926269e+01
3.334273307578777312e+05,4.979682015083917417e+06,3.410127429921869235e-01,-1.840476125409904462e-01,2.118179716381928657e+01
3.334256897018196760e+05,4.979683258383524604e+06,3.400011213634403506e-01,-1.898151727632701735e-01,2.127582375742298382e+01
3.334247970222120639e+05,4.979683837448301725e+06,3.386815125682542393e-01,-1.944051337851638306e-01,2.133117182048802007e+01
3.334239204086548416e+05,4.979684427210878581e+06,3.347010899120587135e-01,-1.994782210788686172e-01,2.128768979406083162e+01
3.334230277293653926e+05,4.979685006275909953e+06,3.313992014942251929e-01,-2.035253441026725341e-01,2.125136475797307511e+01
3.334220222995963995e+05,4.979685499348762445e+06,3.279791622597815759e-01,-2.099504178099778073e-01,2.127703406953739318e+01
3.334209193170379149e+05,4.979685883801165037e+06,3.230334470401795555e-01,-2.181809536934118388e-01,2.129644248445177013e+01
3.334197675581254298e+05,4.979686213943466544e+06,3.165131226480275006e-01,-2.275395004468015736e-01,2.129652188704658045e+01
3.334185676016340149e+05,4.979686511993009597e+06,3.132378685852318378e-01,-2.371834510743916491e-01,2.145008722976033155e+01
3.334173431122949114e+05,4.979686777333311737e+06,3.118749442042202946e-01,-2.470687457771565954e-01,2.169664809146911466e+01
3.334149671539545525e+05,4.979687383925688453e+06,3.035155599302043483e-01,-2.602457262442384178e-01,2.179211670322361982e+01
3.334138235732234316e+05,4.979687724972228520e+06,2.981295098577035341e-01,-2.646911435937971957e-01,2.173598672371014118e+01
3.334126600901893107e+05,4.979688211048084311e+06,2.923174012822755130e-01,-2.687864686794702029e-01,2.165847679813130355e+01
3.334115000802636496e+05,4.979688830428077839e+06,2.863114440204768130e-01,-2.715651218155024083e-01,2.153498978128726549e+01
3.334103640247053700e+05,4.979689460300409235e+06,2.798729220198135081e-01,-2.706808985584506222e-01,2.127367962534944823e+01
3.334092586540951161e+05,4.979690056024914607e+06,2.770224575242272724e-01,-2.688185514972525336e-01,2.110716028906128727e+01
3.334081702178428532e+05,4.979690695773227140e+06,2.740432297473426870e-01,-2.665137501117396113e-01,2.092028482090489661e+01
