easting,northing,tangent_derivative,inclination_deg
3.334362898816561792e+05,4.979665040709275752e+06,-2.979601600063105371e-01,-1.659196007006021034e+01
3.334362741051073535e+05,4.979665041120233946e+06,-3.654893157538079418e-01,-2.007681801758727147e+01
3.334362586179249920e+05,4.979665052639852278e+06,-3.914682885653463229e-01,-2.137876764644668270e+01
3.334362510190170724e+05,4.979665063953991979e+06,-3.395686275522017405e-01,-1.875587557704201913e+01
3.334362513083836529e+05,4.979665075062650256e+06,-1.396610176054230990e-01,-7.950560606288003207e+00
3.334362594860246172e+05,4.979665085965831764e+06,-2.545453584621841792e-01,-1.428109056579784841e+01
3.334362515977502335e+05,4.979665086171310395e+06,-2.986527208820349277e-01,-1.662839835996174997e+01
3.334362437094757915e+05,4.979665086376789957e+06,-2.986687865995330537e-01,-1.662924347499109246e+01
3.334362279329270823e+05,4.979665086787749082e+06,-1.622387767076704790e-01,-9.215303703092416754e+00
3.334362197552861180e+05,4.979665075884569436e+06,-9.771705567113883606e-02,-5.581056083409018598e+00
3.334362118670117343e+05,4.979665076090048999e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.334362197552861180e+05,4.979665075884569436e+06,2.986523521391510338e-01,1.662837896266079341e+01
3.334362197552861180e+05,4.979665075884569436e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.334362197552861180e+05,4.979665075884569436e+06,0.000000000000000000e+00,0.000000000000000000e+00
3.334362197552861180e+05,4.979665075884569436e+06,2.544178073055028966e-01,1.427422691865664639e+01
3.334362194659195375e+05,4.979665064775909297e+06,1.398291029652124762e-01,7.960006717873239879e+00
3.334362112882785732e+05,4.979665053872730583e+06,3.449122368576168496e-02,1.975418447218308726e+00
3.334362031106374925e+05,4.979665042969550937e+06,-9.772053250390969059e-02,-5.581253407017085166e+00
3.334361952223629924e+05,4.979665043175030500e+06,-2.985859946707730139e-01,-1.662488823947664685e+01
3.334361952223629924e+05,4.979665043175030500e+06,3.449918800406837072e-02,1.975874226703206116e+00
3.334361870447219117e+05,4.979665032271849923e+06,-1.356284833884225383e-01,-7.723809738802835945e+00
3.334361552022575634e+05,4.979665021985108964e+06,-1.731447477419231773e-01,-9.823073638947995789e+00
3.334360833396870876e+05,4.979664990508447401e+06,-2.142109225539889084e-01,-1.209065989661876550e+01
3.334360041675751563e+05,4.979664981454584748e+06,-2.990886833620300944e-01,-1.665132892684832555e+01
3.334359965686674695e+05,4.979664992768726312e+06,-1.781676310787998763e-01,-1.010224915098997478e+01
3.334360129239503876e+05,4.979665014575083740e+06,6.459675407780951506e-02,3.695986289362507726e+00
3.334360368781407014e+05,4.979665025067306124e+06,2.098113292555423004e-02,1.201954016836191963e+00
3.334360777663470944e+05,4.979665079583203420e+06,-8.390088985704841074e-02,-4.795934497789470008e+00
3.334360865227219765e+05,4.979665112703703344e+06,-2.542681948687096627e-01,-1.426617560018521402e+01
3.334360792131812195e+05,4.979665135126501322e+06,-3.802484310960956293e-01,-2.081922799190052231e+01
3.334360637259995565e+05,4.979665146646121517e+06,-3.784432830277587589e-01,-2.072881182176735138e+01
3.334360558377252892e+05,4.979665146851601079e+06,-3.906159207362862595e-01,-2.133640795521188238e+01
3.334360482388177770e+05,4.979665158165740781e+06,-3.478908154241519002e-01,-1.918231636640501137e+01
3.334360263101964956e+05,4.979665225434138440e+06,-3.469775883891527690e-01,-1.913562808085329081e+01
3.334359818742214120e+05,4.979665337753613479e+06,-3.471932651708995454e-01,-1.914665683497383242e+01
3.334359157989962841e+05,4.979665528450147249e+06,-3.495700955444247526e-01,-1.926809966068821822e+01
3.334357307455855189e+05,4.979666000150856562e+06,-3.545856645676340735e-01,-1.952377685166269927e+01
3.334356266758495476e+05,4.979666247418093495e+06,-3.575367224152057322e-01,-1.967383557108771441e+01
3.334355299156591063e+05,4.979666472262533382e+06,-3.610024670092439880e-01,-1.984970741802941063e+01
3.334354179576674942e+05,4.979666719735254534e+06,-3.560569916413348079e-01,-1.959862753417312220e+01
