easting,northing,height,dz_dx,dz_dy,tangent_x,tangent_y,tangent_derivative
3.334362898816561792e+05,4.979665040709275752e+06,2.250780000000000200e+03,2.853196815715220991e-01,-2.522344173101094267e-01,-9.996609058202498010e-01,2.603984206245773397e-02,-2.917910757176043202e-01
3.334362741051073535e+05,4.979665041120233946e+06,2.250759000000000015e+03,2.844063771976095834e-01,-2.517620638507537256e-01,-9.342829460667749775e-01,3.565324342732194007e-01,-3.554773694507200599e-01
3.334362586179249920e+05,4.979665052639852278e+06,2.250728000000000065e+03,2.851473957698049122e-01,-2.539699712286533906e-01,-7.109816400293725858e-01,7.032105712666324449e-01,-3.813289316467920465e-01
3.334362510190170724e+05,4.979665063953991979e+06,2.250706000000000131e+03,2.933306156249258501e-01,-2.611742779233601208e-01,-3.099347247661515259e-01,9.507578379293699644e-01,-3.392268354203754610e-01
3.334362513083836529e+05,4.979665075062650256e+06,2.250688999999999851e+03,2.933306156249258501e-01,-2.611742779233601208e-01,3.590128885146301463e-01,9.333326019594416767e-01,-1.384529967738087342e-01
3.334362594860246172e+05,4.979665085965831764e+06,2.250688000000000102e+03,2.933306156249258501e-01,-2.611742779233601208e-01,2.603990525617056254e-02,9.996609041741353341e-01,-2.534474133762858461e-01
3.334362515977502335e+05,4.979665086171310395e+06,2.250675999999999931e+03,2.933306156249258501e-01,-2.611742779233601208e-01,-9.996609058202498010e-01,2.603984206245773397e-02,-3.000320858683256375e-01
3.334362437094757915e+05,4.979665086376789957e+06,2.250653999999999996e+03,2.933306156249258501e-01,-2.611742779233601208e-01,-9.996609042816032575e-01,2.603990113052006769e-02,-3.000321008440520187e-01
3.334362279329270823e+05,4.979665086787749082e+06,2.250635999999999967e+03,2.933306156249258501e-01,-2.611742779233601208e-01,-9.159850613315364543e-01,-4.012123719646010778e-01,-1.639001104018417976e-01
3.334362197552861180e+05,4.979665075884569436e+06,2.250619999999999891e+03,2.933306156249258501e-01,-2.611742779233601208e-01,-8.323588709255221874e-01,-5.542370521641347691e-01,-9.940387813211204460e-02
3.334362118670117343e+05,4.979665076090048999e+06,2.250606999999999971e+03,2.933306156249258501e-01,-2.611742779233601208e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334362197552861180e+05,4.979665075884569436e+06,2.250592000000000098e+03,2.933306156249258501e-01,-2.611742779233601208e-01,9.996609042816032575e-01,-2.603990113052006769e-02,3.000321008440520187e-01
3.334362197552861180e+05,4.979665075884569436e+06,2.250579999999999927e+03,2.933306156249258501e-01,-2.611742779233601208e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334362197552861180e+05,4.979665075884569436e+06,2.250568000000000211e+03,2.933306156249258501e-01,-2.611742779233601208e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334362197552861180e+05,4.979665075884569436e+06,2.250557999999999993e+03,2.933306156249258501e-01,-2.611742779233601208e-01,-2.603990525617056254e-02,-9.996609041741353341e-01,2.534474133762858461e-01
3.334362194659195375e+05,4.979665064775909297e+06,2.250547000000000025e+03,2.885016139612062713e-01,-2.582232198136136803e-01,-3.590129017466673900e-01,-9.333325968696463137e-01,1.374323467338720572e-01
3.334362112882785732e+05,4.979665053872730583e+06,2.250528999999999996e+03,2.885016139612062713e-01,-2.582232198136136803e-01,-6.000120511834589054e-01,-7.999909614705770222e-01,3.347179673011918544e-02
3.334362031106374925e+05,4.979665042969550937e+06,2.250514000000000124e+03,2.885016139612062713e-01,-2.582232198136136803e-01,-8.323588746309331654e-01,-5.542370465993107231e-01,-9.702000401309571198e-02
3.334361952223629924e+05,4.979665043175030500e+06,2.250492999999999938e+03,2.885016139612062713e-01,-2.582232198136136803e-01,-9.996609042916069221e-01,2.603990074648323758e-02,-2.951278913164313566e-01
3.334361952223629924e+05,4.979665043175030500e+06,2.250478999999999814e+03,2.885016139612062713e-01,-2.582232198136136803e-01,-6.000120047163594039e-01,-7.999909963219933307e-01,3.347181913539729048e-02
3.334361870447219117e+05,4.979665032271849923e+06,2.250454999999999927e+03,2.879645930721189684e-01,-2.563639918380980487e-01,-8.837622835596263826e-01,-4.679361346994638238e-01,-1.345302709408899289e-01
3.334361552022575634e+05,4.979665021985108964e+06,2.250422000000000025e+03,2.840692134329914076e-01,-2.549990568988403927e-01,-9.276062503698409012e-01,-3.735594253593449432e-01,-1.682470767557814328e-01
3.334360833396870876e+05,4.979664990508447401e+06,2.250414999999999964e+03,2.850428552422765160e-01,-2.490966248118584303e-01,-9.658283930825937169e-01,-2.591823973874284870e-01,-2.107410224384680397e-01
3.334360041675751563e+05,4.979664981454584748e+06,2.250436000000000149e+03,2.859829678551806253e-01,-2.484001916019871192e-01,-9.996609031753173058e-01,2.603994360033600602e-02,-2.923543189184960034e-01
3.334359965686674695e+05,4.979664992768726312e+06,2.250425000000000182e+03,2.859829678551806253e-01,-2.484001916019871192e-01,2.555975129756128950e-01,9.667832804515609224e-01,-1.670526167645965676e-01
3.334360129239503876e+05,4.979665014575083740e+06,2.250409000000000106e+03,2.867201398941651713e-01,-2.485085660943081309e-01,7.803869294977321402e-01,6.252969216852914958e-01,6.836100820597110217e-02
3.334360368781407014e+05,4.979665025067306124e+06,2.250400000000000091e+03,2.856986892356804253e-01,-2.497809293805519637e-01,7.062037541954380160e-01,7.080086564161975904e-01,2.491442669783955344e-02
3.334360777663470944e+05,4.979665079583203420e+06,2.250411999999999807e+03,2.928452575445694706e-01,-2.570806286035311472e-01,4.928919947507727217e-01,8.700905019080511504e-01,-7.934233002803708912e-02
3.334360865227219765e+05,4.979665112703703344e+06,2.250431000000000040e+03,2.968220521142910240e-01,-2.594755958192587753e-01,2.603992855012640661e-02,9.996609035673568178e-01,-2.516583835412004588e-01
3.334360792131812195e+05,4.979665135126501322e+06,2.250447999999999865e+03,2.954507186536560748e-01,-2.565587541773921010e-01,-5.575490353041020475e-01,8.301440075260829721e-01,-3.777089755239690927e-01
3.334360637259995565e+05,4.979665146646121517e+06,2.250451000000000022e+03,2.954507186536560748e-01,-2.565587541773921010e-01,-8.938548358738954702e-01,4.483564791378076286e-01,-3.791198333459460112e-01
3.334360558377252892e+05,4.979665146851601079e+06,2.250445000000000164e+03,2.954507186536560748e-01,-2.565587541773921010e-01,-8.023752636708229025e-01,5.968198524254847426e-01,-3.901817060880787835e-01
3.334360482388177770e+05,4.979665158165740781e+06,2.250440000000000055e+03,2.968035048192538827e-01,-2.573081598700102668e-01,-3.517403476766270409e-01,9.360976059238297342e-01,-3.452633204157484759e-01
3.334360263101964956e+05,4.979665225434138440e+06,2.250465000000000146e+03,2.968035048192538827e-01,-2.573081598700102668e-01,-3.466279224831206318e-01,9.380027096736106573e-01,-3.442361334404070994e-01
3.334359818742214120e+05,4.979665337753613479e+06,2.250474999999999909e+03,2.984159759130000089e-01,-2.599130530715504928e-01,-3.426289203842085573e-01,9.394708206838313647e-01,-3.464266729280409129e-01
3.334359157989962841e+05,4.979665528450147249e+06,2.250443999999999960e+03,3.024209212223771814e-01,-2.663299642372890519e-01,-3.544993647067316012e-01,9.350562552181144182e-01,-3.562415234594510927e-01
3.334357307455855189e+05,4.979666000150856562e+06,2.250199000000000069e+03,2.974167266035079860e-01,-2.526732477166672153e-01,-3.730987448949563690e-01,9.277916396248719888e-01,-3.453939341949233133e-01
3.334356266758495476e+05,4.979666247418093495e+06,2.250025000000000091e+03,2.969491360895675225e-01,-2.541613908020957657e-01,-3.914418530431920118e-01,9.202028448587366016e-01,-3.501183549598169686e-01
3.334355299156591063e+05,4.979666472262533382e+06,2.249862999999999829e+03,2.952659792554507834e-01,-2.513337224131207415e-01,-4.041960932151984487e-01,9.146723556714559944e-01,-3.492333632136980226e-01
3.334354179576674942e+05,4.979666719735254534e+06,2.249737999999999829e+03,2.993948425696098536e-01,-2.550457274931361429e-01,-3.817178123186297789e-01,9.242789144834363535e-01,-3.500177324761462594e-01
3.334353071571583860e+05,4.979667011642616242e+06,2.249585999999999785e+03,3.015561658904374887e-01,-2.574227900284858372e-01,-3.318685229646447521e-01,9.433256508042516808e-01,-3.429105203004085278e-01
3.334352048236692208e+05,4.979667325561820529e+06,2.249416000000000167e+03,2.991767731050418710e-01,-2.527879671125130012e-01,-2.333914595925365432e-01,9.723828600861212923e-01,-3.156319902073926320e-01
3.334351433783909306e+05,4.979667693996917456e+06,2.249302000000000135e+03,2.978978247506857135e-01,-2.504359417176260649e-01,-1.536877811495095669e-01,9.881194593394770909e-01,-2.932438830243918049e-01
3.334350763598014601e+05,4.979668151506775990e+06,2.249262999999999920e+03,2.969131104765386775e-01,-2.469288264124831489e-01,-1.973329108664118037e-01,9.803365352209356676e-01,-3.006640784961214785e-01
3.334349476819089614e+05,4.979668666203784756e+06,2.249224000000000160e+03,2.986572488397740699e-01,-2.455306572102353146e-01,-2.992426808177839348e-01,9.541770370203770391e-01,-3.236507107830062235e-01
3.334345807585427538e+05,4.979669731800533831e+06,2.248871000000000095e+03,2.990478547998386416e-01,-2.413676916486075796e-01,-3.390068553076724389e-01,9.407839029524276420e-01,-3.284541118379938340e-01
3.334343734874210786e+05,4.979670259661034681e+06,2.248525999999999840e+03,3.000747107229770338e-01,-2.404131187691608551e-01,-3.550949231819278129e-01,9.348302495803292311e-01,-3.313004621743746991e-01
3.334341670844485052e+05,4.979670820847522467e+06,2.248215000000000146e+03,3.017908049912530477e-01,-2.388712500171447373e-01,-3.070746384612315083e-01,9.516854345916532232e-01,-3.200025917176309020e-01
3.334339936814376269e+05,4.979671436755386181e+06,2.247961999999999989e+03,3.018658554916035519e-01,-2.359387133132944403e-01,-2.403825535241767841e-01,9.706782309092937266e-01,-3.015838580067954910e-01
3.334338456794899539e+05,4.979672118698768318e+06,2.247782999999999902e+03,3.022909378318813234e-01,-2.318763542072035388e-01,-2.390336229973018534e-01,9.710112909110706347e-01,-2.974122560996961262e-01
3.334336439065836603e+05,4.979672857623832300e+06,2.247675999999999931e+03,3.046001792406826114e-01,-2.276191838618641106e-01,-2.984211392505087268e-01,9.544342950923486724e-01,-3.081466878036076551e-01
3.334333866265102988e+05,4.979673586878630333e+06,2.247547000000000025e+03,3.059096364115404532e-01,-2.218552569387393925e-01,-3.455383776678186414e-01,9.384046193187094431e-01,-3.138935174100481729e-01
3.334330983721949160e+05,4.979674339172694832e+06,2.247367999999999938e+03,3.082579858652255700e-01,-2.200844619338592767e-01,-3.627792011257979787e-01,9.318751264147615565e-01,-3.169208216393739619e-01
3.334328095392065006e+05,4.979675069249456748e+06,2.247054000000000087e+03,3.101947918582027564e-01,-2.153079838822063719e-01,-4.004807072010117541e-01,9.163051910579670389e-01,-3.215148529209344574e-01
3.334321597216027440e+05,4.979676486817749217e+06,2.246275999999999840e+03,3.151579538596694374e-01,-2.092367267736940650e-01,-4.633980259685374636e-01,8.861502522306601293e-01,-3.314587518932809451e-01
3.334317192756509176e+05,4.979677154146824963e+06,2.245918000000000120e+03,3.162311063077379858e-01,-2.074463851111288948e-01,-6.039585019452244907e-01,7.970157639144160866e-01,-3.563285043347330094e-01
3.334311371305125067e+05,4.979677836283343844e+06,2.245697999999999865e+03,3.175971624836813056e-01,-2.046708205935768299e-01,-6.478466513882344957e-01,7.617707767334287450e-01,-3.616665081836952234e-01
3.334305397877403302e+05,4.979678541048215702e+06,2.245469999999999800e+03,3.185302653113016302e-01,-2.020828915383950097e-01,-6.537724866660334921e-01,7.566911758957619583e-01,-3.611606644575648950e-01
3.334299187803316163e+05,4.979679246429610066e+06,2.245215999999999894e+03,3.186311959744231870e-01,-2.000137041541770744e-01,-6.683839188399564035e-01,7.438164673063796251e-01,-3.617414542668704325e-01
3.334292817071700701e+05,4.979679941113386303e+06,2.244898999999999887e+03,3.201272798496498373e-01,-1.984970655715148080e-01,-6.736576730364290944e-01,7.390435302193935074e-01,-3.623541704971595667e-01
3.334286525224047946e+05,4.979680635591740720e+06,2.244509000000000015e+03,3.210696996503011880e-01,-1.973450575002599627e-01,-6.706384354410529491e-01,7.417843951642395517e-01,-3.617091651574891875e-01
